smiles,id,MW,LogP,HBD,HBA,PSA,pIC50
CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccccc1,CHEMBL194398,580.6820000000004,2.6858200000000014,8.0,3.0,156.7,3.0604807473813813
CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,CHEMBL393608,547.6530000000002,1.3986200000000035,8.0,4.0,168.72999999999996,3.6989700043360187
CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,CHEMBL238216,581.6700000000001,1.5952200000000034,8.0,4.0,168.72999999999996,3.5228787452803374
CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)OC(C)(C)C)C(C)C,CHEMBL235873,659.7810000000001,0.870600000000006,9.0,6.0,201.25999999999996,4.823908740944319
CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)OC(C)(C)C)C(C)C,CHEMBL397154,625.764,0.6740000000000061,9.0,6.0,201.25999999999996,5.0
CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC=C(C)C)CC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)OC(C)(C)C)C(C)C,CHEMBL238217,636.7870000000001,2.0748000000000024,9.0,5.0,189.22999999999996,4.096910013008056
CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC=C(C)C)CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,CHEMBL196635,558.6760000000003,2.7994200000000014,8.0,3.0,156.7,3.0969100130080562
O=C(O)/C(O)=C/C(=O)c1cccc(NCc2ccccc2)c1,CHEMBL492571,297.31,3.007900000000002,4.0,3.0,86.63,5.267606240177032
O=C(O)/C(O)=C/C(=O)c1cccc(NCc2ccc(Cl)cc2)c1,CHEMBL522710,331.755,3.6613000000000016,4.0,3.0,86.63,4.958607314841775
O=C(O)/C(O)=C/C(=O)c1cccc(OCc2ccc(Cl)cc2)c1,CHEMBL492771,332.73900000000003,3.6282000000000023,4.0,2.0,83.83,4.866461091629782
